global_id,name,raw_key,embedding_000,embedding_001,embedding_002,embedding_003,embedding_004,embedding_005,embedding_006,embedding_007,embedding_008,embedding_009,embedding_010,embedding_011,embedding_012,embedding_013,embedding_014,embedding_015,embedding_016,embedding_017,embedding_018,embedding_019,embedding_020,embedding_021,embedding_022,embedding_023,embedding_024,embedding_025,embedding_026,embedding_027,embedding_028,embedding_029,embedding_030,embedding_031,embedding_032,embedding_033,embedding_034,embedding_035,embedding_036,embedding_037,embedding_038,embedding_039,embedding_040,embedding_041,embedding_042,embedding_043,embedding_044,embedding_045,embedding_046,embedding_047,embedding_048,embedding_049,embedding_050,embedding_051,embedding_052,embedding_053,embedding_054,embedding_055,embedding_056,embedding_057,embedding_058,embedding_059,embedding_060,embedding_061,embedding_062,embedding_063
1009,Shounen,demographic_27,0.188763,-0.51246,0.32448,-0.064166,-0.391122,0.706887,0.075674,-0.447627,0.66159,-0.567406,-0.146717,-0.267391,-0.479277,0.294861,0.165745,-0.017149,-0.900283,-0.559718,0.196619,-0.051721,0.603711,0.446985,0.137786,0.618557,0.090945,-0.140907,-0.454535,0.142206,0.597975,-1.263593,-0.620192,0.664262,-0.519359,-0.079156,-0.398525,-0.858548,0.438392,-0.144373,-0.064635,0.43084,-0.026854,-0.013496,-0.495335,0.503396,0.066608,0.237824,0.551056,0.15288,0.355792,-0.775868,-0.41301,-0.837609,0.569288,0.519964,-0.485544,-0.382606,-1.44185,0.091087,0.835915,-0.1196,1.332147,0.281239,0.059906,-0.3172
1031,Seinen,demographic_42,0.155541,-0.284157,0.034363,-0.12847,-0.519199,0.880795,0.137692,-0.262956,0.623473,-0.453544,-0.036314,0.036085,-0.987844,0.237994,-0.02849,0.012062,-0.736608,-0.580607,0.263063,0.055405,0.631276,-0.05989,0.170762,0.618068,0.170605,-0.486159,-0.115724,0.176861,0.561777,-1.240596,-0.20428,0.657356,-0.947728,0.279115,-0.475096,-0.369764,0.434344,0.042707,0.119689,0.489473,0.141394,0.329281,-0.939958,0.372711,0.023251,0.437212,0.102439,0.006199,0.107226,-0.842327,-0.618852,-1.060119,0.161845,0.397179,-0.277664,-0.769924,-1.249933,0.26798,1.074419,0.030983,1.150455,0.659184,0.266367,-0.357273
1432,Shoujo,demographic_25,0.221538,0.150303,0.034661,0.063916,-0.602912,0.450248,0.148552,-0.110813,0.598244,-0.324363,-0.224431,-0.242466,-0.683641,0.460044,-0.069647,0.160081,-0.618608,-0.620289,0.227443,-0.150216,0.317791,-0.502294,0.150999,0.306776,0.167495,-0.480405,-0.41693,0.057103,0.237776,-0.567588,0.061215,0.441156,-0.681518,0.293771,-0.090527,-0.341707,0.133867,0.275122,0.558547,0.350857,0.440453,0.390878,-0.289459,-0.028568,0.151773,0.354338,-0.023034,0.037102,-0.183358,-0.174551,-0.527555,-1.03169,0.418088,0.438305,0.154014,-0.829545,-0.791778,0.297307,0.684283,-0.275844,1.243059,0.526844,0.319686,0.411246
1894,Kids,demographic_15,0.248431,0.04811,0.211444,-0.056218,-0.552319,0.549949,-0.142119,-0.822985,0.438019,-0.775169,0.17784,-0.204854,0.004706,-0.073531,-0.542065,0.484776,-0.63488,-0.587556,0.328903,-0.526427,0.547523,0.188024,0.419917,0.456107,0.122983,-0.846415,-0.606689,0.234248,0.026207,-0.49018,-0.347778,0.753624,-0.192899,0.001176,-0.913925,-0.525975,0.225442,-0.301865,0.809461,0.077287,0.430425,0.314268,-0.909111,-0.190706,-0.350902,0.055927,0.072517,-0.039901,0.161338,-0.217546,-0.811975,-1.129126,0.701494,0.056942,0.199784,-0.782987,-0.530304,0.078008,0.410331,0.125735,1.018574,0.422055,0.277346,0.122767
2077,Josei,demographic_43,-0.088387,0.20472,0.190254,-0.074291,-0.801057,0.829426,0.00224,-0.113684,0.766782,-0.757689,0.58841,-0.358797,-0.459965,0.361896,-0.54479,0.250127,-1.09051,-0.656384,0.473845,-0.246942,0.422487,0.026344,0.400004,0.658989,0.484499,-0.378619,0.059692,0.273889,0.509337,-1.020964,-0.54403,0.574682,-0.355485,0.409333,-0.827304,-0.878296,0.436062,0.057099,0.309673,0.495907,0.302053,0.344985,-0.414196,-0.197009,-0.203505,-0.128014,0.221501,0.237386,-0.116881,-0.782388,-0.833949,-0.631096,0.467213,0.28444,-0.208776,-0.729597,-0.657883,0.403124,0.611016,0.280314,1.288907,0.799826,0.366491,-0.109256
